email,first_name,last_name,username,planet
student_089@correo.ugr.es,Name_089,Last_name_089,USERNAME_089,-VENUS-
student_097@correo.ugr.es,Name_097,Last_name_097,USERNAME_097,-SATURN-
student_074@correo.ugr.es,Name_074,Last_name_074,USERNAME_074,-SATURN-
student_017@correo.ugr.es,Name_017,Last_name_017,USERNAME_017,-SATURN-
student_114@correo.ugr.es,Name_114,Last_name_114,USERNAME_114,-MARTE-
student_018@correo.ugr.es,Name_018,Last_name_018,USERNAME_018,-SATURN-
student_004@correo.ugr.es,Name_004,Last_name_004,USERNAME_004,-MARTE-
student_134@correo.ugr.es,Name_134,Last_name_134,USERNAME_134,
student_132@correo.ugr.es,Name_132,Last_name_132,USERNAME_132,-EARTH-
student_059@correo.ugr.es,Name_059,Last_name_059,USERNAME_059,-MARTE-
student_056@correo.ugr.es,Name_056,Last_name_056,USERNAME_056,-MARTE-
student_009@correo.ugr.es,Name_009,Last_name_009,USERNAME_009,-EARTH-
student_040@correo.ugr.es,Name_040,Last_name_040,USERNAME_040,-VENUS-
student_080@correo.ugr.es,Name_080,Last_name_080,USERNAME_080,-VENUS-
student_053@correo.ugr.es,Name_053,Last_name_053,USERNAME_053,-EARTH-
student_019@correo.ugr.es,Name_019,Last_name_019,USERNAME_019,-MARTE-
**unregistered_stu_10@correo.ugr.es,Unregistered_008,Un_Last_name_008,UN_USERNAME_008,
student_010@correo.ugr.es,Name_010,Last_name_010,USERNAME_010,-SATURN-
**unregistered_stu_05@correo.ugr.es,Unregistered_005,Un_Last_name_005,UN_USERNAME_005,
student_077@correo.ugr.es,Name_077,Last_name_077,USERNAME_077,-SATURN-
**unregistered_stu_03@correo.ugr.es,Unregistered_003,Un_Last_name_003,UN_USERNAME_003,
student_061@correo.ugr.es,Name_061,Last_name_061,USERNAME_061,-SATURN-
student_039@correo.ugr.es,Name_039,Last_name_039,USERNAME_039,-VENUS-
student_014@correo.ugr.es,Name_014,Last_name_014,USERNAME_014,-VENUS-
student_068@correo.ugr.es,Name_068,Last_name_068,USERNAME_068,-URANUS-
student_022@correo.ugr.es,Name_022,Last_name_022,USERNAME_022,-MARTE-
student_105@correo.ugr.es,Name_105,Last_name_105,USERNAME_105,-VENUS-
student_033@correo.ugr.es,Name_033,Last_name_033,USERNAME_033,-URANUS-
student_001@correo.ugr.es,Name_001,Last_name_001,USERNAME_001,-MARTE-
student_043@correo.ugr.es,Name_043,Last_name_043,USERNAME_043,-URANUS-
student_118@correo.ugr.es,Name_118,Last_name_118,USERNAME_118,-MARTE-
student_060@correo.ugr.es,Name_060,Last_name_060,USERNAME_060,-VENUS-
student_110@correo.ugr.es,Name_110,Last_name_110,USERNAME_110,-SATURN-
student_076@correo.ugr.es,Name_076,Last_name_076,USERNAME_076,-MARTE-
student_027@correo.ugr.es,Name_027,Last_name_027,USERNAME_027,-URANUS-
student_088@correo.ugr.es,Name_088,Last_name_088,USERNAME_088,-SATURN-
student_044@correo.ugr.es,Name_044,Last_name_044,USERNAME_044,-SATURN-
student_135@correo.ugr.es,Name_135,Last_name_135,USERNAME_135,
student_086@correo.ugr.es,Name_086,Last_name_086,USERNAME_086,-URANUS-
student_071@correo.ugr.es,Name_071,Last_name_071,USERNAME_071,-URANUS-
student_096@correo.ugr.es,Name_096,Last_name_096,USERNAME_096,-MARTE-
student_121@correo.ugr.es,Name_121,Last_name_121,USERNAME_121,-EARTH-
student_094@correo.ugr.es,Name_094,Last_name_094,USERNAME_094,-URANUS-
student_058@correo.ugr.es,Name_058,Last_name_058,USERNAME_058,-VENUS-
student_126@correo.ugr.es,Name_126,Last_name_126,USERNAME_126,-VENUS-
student_124@correo.ugr.es,Name_124,Last_name_124,USERNAME_124,-SATURN-
student_045@correo.ugr.es,Name_045,Last_name_045,USERNAME_045,-SATURN-
student_091@correo.ugr.es,Name_091,Last_name_091,USERNAME_091,-SATURN-
**unregistered_stu_01@correo.ugr.es,Unregistered_001,Un_Last_name_001,UN_USERNAME_001,-EARTH-
student_038@correo.ugr.es,Name_038,Last_name_038,USERNAME_038,-EARTH-
student_048@correo.ugr.es,Name_048,Last_name_048,USERNAME_048,-VENUS-
student_015@correo.ugr.es,Name_015,Last_name_015,USERNAME_015,-SATURN-
student_054@correo.ugr.es,Name_054,Last_name_054,USERNAME_054,-SATURN-
student_062@correo.ugr.es,Name_062,Last_name_062,USERNAME_062,-URANUS-
student_036@correo.ugr.es,Name_036,Last_name_036,USERNAME_036,-VENUS-
student_085@correo.ugr.es,Name_085,Last_name_085,USERNAME_085,-SATURN-
student_065@correo.ugr.es,Name_065,Last_name_065,USERNAME_065,-URANUS-
student_072@correo.ugr.es,Name_072,Last_name_072,USERNAME_072,-VENUS-
**unregistered_stu_11@correo.ugr.es,Unregistered_009,Un_Last_name_009,UN_USERNAME_009,
student_051@correo.ugr.es,Name_051,Last_name_051,USERNAME_051,-URANUS-
student_034@correo.ugr.es,Name_034,Last_name_034,USERNAME_034,-EARTH-
student_037@correo.ugr.es,Name_037,Last_name_037,USERNAME_037,-VENUS-
student_081@correo.ugr.es,Name_081,Last_name_081,USERNAME_081,-SATURN-
student_021@correo.ugr.es,Name_021,Last_name_021,USERNAME_021,-SATURN-
student_093@correo.ugr.es,Name_093,Last_name_093,USERNAME_093,-VENUS-
student_069@correo.ugr.es,Name_069,Last_name_069,USERNAME_069,-URANUS-
student_016@correo.ugr.es,Name_016,Last_name_016,USERNAME_016,-SATURN-
student_055@correo.ugr.es,Name_055,Last_name_055,USERNAME_055,-VENUS-
student_013@correo.ugr.es,Name_013,Last_name_013,USERNAME_013,-VENUS-
student_101@correo.ugr.es,Name_101,Last_name_101,USERNAME_101,-VENUS-
**unregistered_stu_06@correo.ugr.es,Unregistered_006,Un_Last_name_006,UN_USERNAME_006,
student_049@correo.ugr.es,Name_049,Last_name_049,USERNAME_049,-EARTH-
student_112@correo.ugr.es,Name_112,Last_name_112,USERNAME_112,-EARTH-
student_095@correo.ugr.es,Name_095,Last_name_095,USERNAME_095,-VENUS-
student_102@correo.ugr.es,Name_102,Last_name_102,USERNAME_102,-MARTE-
student_032@correo.ugr.es,Name_032,Last_name_032,USERNAME_032,-VENUS-
student_028@correo.ugr.es,Name_028,Last_name_028,USERNAME_028,-SATURN-
student_024@correo.ugr.es,Name_024,Last_name_024,USERNAME_024,-EARTH-
student_098@correo.ugr.es,Name_098,Last_name_098,USERNAME_098,-MARTE-
student_128@correo.ugr.es,Name_128,Last_name_128,USERNAME_128,-MARTE-
student_103@correo.ugr.es,Name_103,Last_name_103,USERNAME_103,-URANUS-
student_005@correo.ugr.es,Name_005,Last_name_005,USERNAME_005,-EARTH-
student_084@correo.ugr.es,Name_084,Last_name_084,USERNAME_084,-EARTH-
student_125@correo.ugr.es,Name_125,Last_name_125,USERNAME_125,-EARTH-
student_123@correo.ugr.es,Name_123,Last_name_123,USERNAME_123,-SATURN-
student_078@correo.ugr.es,Name_078,Last_name_078,USERNAME_078,-MARTE-
**unregistered_stu_13@correo.ugr.es,Unregistered_011,Un_Last_name_011,UN_USERNAME_011,
student_070@correo.ugr.es,Name_070,Last_name_070,USERNAME_070,-URANUS-
student_099@correo.ugr.es,Name_099,Last_name_099,USERNAME_099,-URANUS-
student_057@correo.ugr.es,Name_057,Last_name_057,USERNAME_057,-URANUS-
student_003@correo.ugr.es,Name_003,Last_name_003,USERNAME_003,-VENUS-
student_082@correo.ugr.es,Name_082,Last_name_082,USERNAME_082,-URANUS-
student_042@correo.ugr.es,Name_042,Last_name_042,USERNAME_042,-VENUS-
student_011@correo.ugr.es,Name_011,Last_name_011,USERNAME_011,-URANUS-
student_087@correo.ugr.es,Name_087,Last_name_087,USERNAME_087,-SATURN-
student_007@correo.ugr.es,Name_007,Last_name_007,USERNAME_007,-EARTH-
student_073@correo.ugr.es,Name_073,Last_name_073,USERNAME_073,-SATURN-
student_063@correo.ugr.es,Name_063,Last_name_063,USERNAME_063,-VENUS-
student_092@correo.ugr.es,Name_092,Last_name_092,USERNAME_092,-URANUS-
student_029@correo.ugr.es,Name_029,Last_name_029,USERNAME_029,-MARTE-
student_041@correo.ugr.es,Name_041,Last_name_041,USERNAME_041,-URANUS-
student_050@correo.ugr.es,Name_050,Last_name_050,USERNAME_050,-MARTE-
student_052@correo.ugr.es,Name_052,Last_name_052,USERNAME_052,-SATURN-
**unregistered_stu_04@correo.ugr.es,Unregistered_004,Un_Last_name_004,UN_USERNAME_004,
student_129@correo.ugr.es,Name_129,Last_name_129,USERNAME_129,-VENUS-
student_031@correo.ugr.es,Name_031,Last_name_031,USERNAME_031,-MARTE-
**unregistered_stu_02@correo.ugr.es,Unregistered_002,Un_Last_name_002,UN_USERNAME_002,-URANUS-
student_119@correo.ugr.es,Name_119,Last_name_119,USERNAME_119,-VENUS-
student_090@correo.ugr.es,Name_090,Last_name_090,USERNAME_090,-SATURN-
student_006@correo.ugr.es,Name_006,Last_name_006,USERNAME_006,-EARTH-
student_083@correo.ugr.es,Name_083,Last_name_083,USERNAME_083,-URANUS-
student_109@correo.ugr.es,Name_109,Last_name_109,USERNAME_109,-SATURN-
student_106@correo.ugr.es,Name_106,Last_name_106,USERNAME_106,-EARTH-
student_117@correo.ugr.es,Name_117,Last_name_117,USERNAME_117,-VENUS-
student_064@correo.ugr.es,Name_064,Last_name_064,USERNAME_064,-SATURN-
student_116@correo.ugr.es,Name_116,Last_name_116,USERNAME_116,-URANUS-
student_115@correo.ugr.es,Name_115,Last_name_115,USERNAME_115,-EARTH-
student_075@correo.ugr.es,Name_075,Last_name_075,USERNAME_075,-MARTE-
student_111@correo.ugr.es,Name_111,Last_name_111,USERNAME_111,-SATURN-
student_023@correo.ugr.es,Name_023,Last_name_023,USERNAME_023,-URANUS-
student_020@correo.ugr.es,Name_020,Last_name_020,USERNAME_020,-VENUS-
student_025@correo.ugr.es,Name_025,Last_name_025,USERNAME_025,-MARTE-
student_122@correo.ugr.es,Name_122,Last_name_122,USERNAME_122,-VENUS-
**unregistered_stu_12@correo.ugr.es,Unregistered_010,Un_Last_name_010,UN_USERNAME_010,
